"city_state","city_or_county","state","incidents","victims_killed","victims_injured","victims_harmed","lat","long"
"Abbeville Louisiana","Abbeville","Louisiana",1,0,4,4,29.9746502,-92.1342921
"Adelanto California","Adelanto","California",1,2,5,7,34.5827699,-117.409215
"Akron Ohio","Akron","Ohio",1,0,4,4,41.083064,-81.518485
"Albany Georgia","Albany","Georgia",1,0,4,4,31.5782062,-84.1556809
"Alexandria Louisiana","Alexandria","Louisiana",3,2,11,13,31.2909782,-92.4616292
"Allen Texas","Allen","Texas",1,8,7,15,33.1031744,-96.6705503
"Allentown Pennsylvania","Allentown","Pennsylvania",1,0,4,4,40.6022059,-75.4712794
"Amarillo Texas","Amarillo","Texas",1,2,5,7,35.2072185,-101.833824
"Anderson Indiana","Anderson","Indiana",1,0,6,6,40.1053196,-85.6802541
"Andrews South Carolina","Andrews","South Carolina",1,2,2,4,33.451278,-79.5608971
"Annapolis Maryland","Annapolis","Maryland",1,3,3,6,38.9786401,-76.492786
"Antioch California","Antioch","California",1,1,6,7,38.0049214,-121.805789
"Asheboro North Carolina","Asheboro","North Carolina",1,0,4,4,35.7079146,-79.8136446
"Athens Georgia","Athens","Georgia",1,1,3,4,33.9597677,-83.376398
"Atlanta Georgia","Atlanta","Georgia",4,2,16,18,33.7489924,-84.3902644
"Auburn Washington","Auburn","Washington",1,0,4,4,47.3075369,-122.2301808
"Augusta Georgia","Augusta","Georgia",2,2,8,10,33.4709714,-81.9748429
"Austin Texas","Austin","Texas",1,2,3,5,30.2711286,-97.7436995
"Azusa California","Azusa","California",1,0,4,4,34.1338751,-117.9056046
"Baltimore Maryland","Baltimore","Maryland",11,9,67,76,39.2908816,-76.610759
"Barnwell South Carolina","Barnwell","South Carolina",1,1,5,6,33.2641009,-81.4190808
"Bastrop Louisiana","Bastrop","Louisiana",1,2,2,4,32.7761446,-91.9082967
"Baton Rouge Louisiana","Baton Rouge","Louisiana",1,0,12,12,30.4494155,-91.1869659
"Bay Saint Louis Mississippi","Bay Saint Louis","Mississippi",1,2,4,6,30.3132453,-89.3343223
"Beaumont Texas","Beaumont","Texas",1,0,5,5,30.0860459,-94.1018461
"Benton City Washington","Benton City","Washington",1,1,5,6,46.2631897,-119.487802
"Beverly Hills California","Beverly Hills","California",1,3,2,5,34.0696501,-118.3963062
"Biloxi Mississippi","Biloxi","Mississippi",1,0,5,5,30.4007626,-88.8893818
"Birmingham Alabama","Birmingham","Alabama",4,6,11,17,33.5206824,-86.8024326
"Bladensburg Maryland","Bladensburg","Maryland",1,0,5,5,38.9392997,-76.9337983
"Bolingbrook Illinois","Bolingbrook","Illinois",1,3,1,4,41.7003302,-88.0717708
"Borger Texas","Borger","Texas",1,1,3,4,35.6689767,-101.3919481
"Bossier City Louisiana","Bossier City","Louisiana",1,2,2,4,32.515887,-93.7336536
"Boston Massachusetts","Boston","Massachusetts",3,0,17,17,42.3554334,-71.060511
"Bothell Washington","Bothell","Washington",1,1,3,4,47.7623204,-122.2054035
"Bowdoin Maine","Bowdoin","Maine",1,4,3,7,44.0364973,-69.9720794
"Bronx New York","Bronx","New York",5,3,17,20,40.8466508,-73.8785937
"Brooklyn New York","Brooklyn","New York",4,2,14,16,40.6526006,-73.9497211
"Brunswick Georgia","Brunswick","Georgia",1,0,5,5,31.1499528,-81.4914894
"Bryan Texas","Bryan","Texas",1,0,4,4,30.6743643,-96.3699632
"Buffalo New York","Buffalo","New York",1,0,5,5,42.8867166,-78.8783922
"Canal Winchester Ohio","Canal Winchester","Ohio",1,0,7,7,39.8428215,-82.805646
"Cape Girardeau Missouri","Cape Girardeau","Missouri",1,0,5,5,37.3034933,-89.5230357
"Capitol Heights Maryland","Capitol Heights","Maryland",1,0,4,4,38.8849913,-76.9134765
"Carson California","Carson","California",1,0,8,8,33.8322043,-118.2517547
"Cedar City (Enoch) Utah","Cedar City (Enoch)","Utah",1,7,0,7,37.7319149,-113.054742775113
"Champaign Illinois","Champaign","Illinois",1,0,4,4,40.1164841,-88.2430932
"Charlotte North Carolina","Charlotte","North Carolina",3,1,11,12,35.2272086,-80.8430827
"Chesapeake Virginia","Chesapeake","Virginia",1,1,4,5,36.7183708,-76.2466798
"Chester Pennsylvania","Chester","Pennsylvania",1,0,8,8,39.9829308,-75.7652424
"Chicago Heights (Ford Heights) Illinois","Chicago Heights (Ford Heights)","Illinois",1,1,4,5,41.5180907,-87.5864315
"Chicago Illinois","Chicago","Illinois",32,25,136,161,41.8755616,-87.6244212
"Chico California","Chico","California",1,1,5,6,39.7284945,-121.8374777
"Chula Vista California","Chula Vista","California",1,0,4,4,32.6400541,-117.0841955
"Cincinnati Ohio","Cincinnati","Ohio",4,0,16,16,39.1014537,-84.5124602
"Clarksdale Mississippi","Clarksdale","Mississippi",2,0,17,17,34.2006479,-90.5702071
"Clarksville Tennessee","Clarksville","Tennessee",1,0,5,5,36.5277607,-87.3588703
"Cleveland Mississippi","Cleveland","Mississippi",1,2,2,4,33.7440023,-90.7248187
"Cleveland Ohio","Cleveland","Ohio",7,7,27,34,41.4996574,-81.6936772
"Cleveland Texas","Cleveland","Texas",1,5,0,5,30.3414794,-95.0900115
"Clifton New Jersey","Clifton","New Jersey",1,0,4,4,40.8584328,-74.1637553
"Clinton North Carolina","Clinton","North Carolina",1,5,0,5,34.9979453,-78.3233325
"Cocoa Florida","Cocoa","Florida",1,4,0,4,28.3553873,-80.7318827
"Coldwater Mississippi","Coldwater","Mississippi",1,6,0,6,34.6917684,-89.9773124
"College Station Texas","College Station","Texas",1,0,4,4,30.5955289,-96.3071042
"Colorado Springs Colorado","Colorado Springs","Colorado",1,0,5,5,38.8339578,-104.825348
"Columbia Missouri","Columbia","Missouri",2,3,7,10,38.951883,-92.3337366
"Columbia South Carolina","Columbia","South Carolina",3,4,13,17,34.0374165,-80.8224044537886
"Columbia Tennessee","Columbia","Tennessee",1,1,4,5,35.6150716,-87.0352831
"Columbus Georgia","Columbus","Georgia",2,3,10,13,32.4610708,-84.9880449
"Columbus Indiana","Columbus","Indiana",1,0,4,4,39.2014405,-85.9213796
"Columbus Mississippi","Columbus","Mississippi",2,1,8,9,33.4956744,-88.4272627
"Columbus Ohio","Columbus","Ohio",6,5,27,32,39.9622601,-83.0007065
"Corpus Christi Texas","Corpus Christi","Texas",1,1,3,4,27.7635302,-97.4033191
